group,cooling_time_min,tensile_strength_psi
short,74.06014106883464,73846.78602176414
short,74.05514380364883,73628.87924559126
short,74.06019074522419,74119.78917266402
short,87.41092596261888,75268.54032263841
short,74.28356204277267,74356.35343530957
short,76.54226256072239,75884.45916834736
short,75.81600705397281,74357.28619636354
short,74.6055650052232,74373.87214492624
short,70.73892302143862,73058.60813518526
short,75.03587688197307,73875.84368628253
short,68.90869914184971,71797.5855100912
short,71.05272557303996,72658.75872870264
short,70.05854580868359,72266.19145283148
short,72.32749655754529,72577.53191715658
short,81.25863426669403,75682.39990415263
short,64.530939229633,69484.5900775707
short,74.74504076149806,75260.80327433093
short,65.54913651524139,70493.84940178467
short,70.11227253684227,73936.2477068556
short,76.35580238786946,73990.9637359622
short,72.25712007638185,73864.85528045174
short,67.68902088828277,71117.29426414451
short,69.13878516296013,73487.33385986193
short,74.7183909957387,73444.24084584042
short,69.07853347313146,71033.1820849564
short,72.8658343583279,72932.89127710159
short,72.18228735961526,71436.94568136844
short,69.39359860957673,71442.80747555761
short,80.57577635730131,74951.36083886687
short,74.53567608927204,74148.85418822964
short,63.89942965336957,68946.87663592632
short,72.74581725907771,74865.83626942628
short,69.35285414092645,72603.42709174979
short,75.4097333391849,73856.1708562625
short,68.8299170462692,70859.09203335135
short,71.5410542341324,73257.6186473007
short,74.01994911592183,72790.98914660695
short,75.46302077668048,75799.74804539347
short,67.19881437177689,71641.28338117347
short,70.6619950566362,72095.84354367644
short,70.10021875535618,70837.44672231439
short,69.38668306970516,72943.06340793602
short,79.06181696112439,75186.29236558378
short,73.61992684384383,74691.25987930209
short,66.95646418265981,69284.61402656972
short,75.6714477882191,73920.31511976472
short,80.48862478805053,75548.56610887118
short,76.12986104220458,74576.28982931894
short,65.92252013618395,69593.36965758752
short,70.063063708535,72688.49087050477
short,77.06764459674649,73949.09906074345
short,69.16932213752487,71637.0206523268
short,73.77527771258491,73854.57898030318
short,75.09853621371735,74628.92237699252
short,68.29227811368767,71865.84068642635
short,71.7618985757528,72059.43334402244
short,59.03493063972371,63865.98417934384
short,67.90244943466284,72109.32141054478
short,70.98972739442736,72886.22695417961
short,67.0088672721406,69991.26393644717
short,78.52964521572655,76403.82857137425
short,66.27943448815746,70259.0291458312
short,70.23982205321207,73217.68961353476
short,72.52296230914436,73329.55661131693
short,77.76509315626446,76631.39297903054
short,66.25655139528224,71557.21623184759
short,76.65265500861983,74490.23580539854
short,72.04093224407835,73854.42317154731
short,68.0739653958082,71696.16001020788
short,73.84841389705308,74879.9895737659
short,72.79623878229388,72612.97157712291
short,69.59913249136483,72514.01434246167
short,72.27920833996008,74022.83773280635
short,70.45874561255296,70970.04959183138
short,72.454069381005,72301.00964484797
short,74.64852269808418,72435.77370375328
short,78.34406726458141,74905.27494170555
short,67.04873800469261,71186.77883641503
short,80.53213349862507,76753.42218052395
short,64.19164880190999,68925.21309464732
short,71.39285961985766,74102.36418517925
short,74.3532688259383,72861.22362781518
short,73.12396747094013,72150.41084317476
short,69.50920192071763,71876.36552150776
short,71.1675109985709,73007.21140948872
short,70.02799626136466,72147.27065012002
short,69.64254097222316,70332.54933228712
short,75.3984083880841,74242.7977978021
short,73.42806194386019,72585.62000228486
short,69.22836161895738,72316.4202292971
short,75.598399501733,74670.37920299426
short,73.22919808350643,72801.69544708339
short,75.25144847535584,73855.9360679617
short,74.51851536769445,73175.2618420608
long,101.98685661204493,58004.57127048849
long,99.44694279531527,61435.404387484145
long,102.59075415240277,56577.55984584012
long,106.0921194256321,53273.973006929074
long,99.06338650110666,60602.97156459669
long,99.06345217220328,60392.81934124963
long,106.31685126202956,52467.27012991623
long,103.06973891661164,55973.64660821949
long,98.1221024562602,61413.99267711982
long,102.17024017434386,56890.01433057018
long,98.14632922875015,63408.11412567146
long,98.13708098571897,61872.405121690856
long,100.96784908626414,58598.94187418469
long,92.3468790213688,65761.28336267117
long,93.10032866994787,65145.624207502406
long,97.75084988303611,61990.33776629568
long,95.9486755186623,64027.168299887664
long,101.25698933038109,59458.85584808016
long,96.36790369791515,62813.329133788095
long,94.35078519465884,64098.5989396276
long,105.86259507568622,52971.66473235508
long,99.09689479805385,59154.96020091638
long,100.2701128187517,58660.58295514461
long,94.30100725514617,65681.764163206
long,97.82246910189927,63423.997022513315
long,100.44369035883946,59499.06447698378
long,95.3960256903108,64371.26011339031
long,101.5027920733827,58837.220451166024
long,97.59744524032477,64755.57888318258
long,98.8332250008269,62131.45169188296
long,97.59317355108242,62193.607372322294
long,107.40911273803574,50193.313859472306
long,99.94601110104827,58907.65004672429
long,95.7691562841764,63822.49640103057
long,103.29017964841276,55931.65847416902
long,95.11662540011591,62953.246978310504
long,100.83545438001902,58779.56695944909
long,92.1613195044809,64806.0965658381
long,94.68725580440628,65708.31883866638
long,100.78744494347649,60051.91332708736
long,102.95386631998164,56933.44647509344
long,100.68547312475988,60635.74607968045
long,99.53740687044704,60647.74617895715
long,98.79558521764284,60580.52760176879
long,94.0859120385303,65930.130189496
long,97.12062316642117,63102.738948613725
long,98.15744491616086,60997.08173540684
long,104.22848890487566,55218.00578610199
long,101.37447315827384,58026.400525985286
long,92.94783937854906,64204.223694174434
long,101.29633587757918,59551.715843235244
long,98.45967087833473,63094.01436850132
long,97.29231199877617,61418.07508122503
long,102.44670515536347,57983.08152299137
long,104.1239980899838,54982.710207901764
long,103.7251204764648,55614.00333630654
long,96.64312990710944,62561.41736292264
long,98.76315049659515,60607.377013300356
long,101.32505372561425,58818.812793102144
long,103.90218050848944,55118.1575633223
long,98.08330304861884,62106.14802085722
long,99.25736409334473,60808.28991781798
long,95.57466010397589,63600.247498773504
long,95.21517350367732,63301.76927576604
long,103.2501032895768,56123.770713007936
long,105.4249601142833,54397.79534020822
long,99.71195951367866,60820.1095704328
long,104.0141315915681,54860.143009219544
long,101.44654410019054,58728.6154819738
long,97.41952098157951,63036.918617991716
long,101.44558242203365,57314.66520264867
long,106.15214626586388,53220.87318467695
long,99.85669584356019,59749.62030331048
long,106.25857462325602,53092.13433306337
long,89.52101958364102,65955.47741297256
long,103.2876100175009,55095.943215366475
long,100.34818827295268,58492.49831463008
long,98.80397059813653,61300.50974960104
long,100.367043106142,59983.3605348962
long,92.04972434159643,64995.57593859083
long,99.12131244864995,61484.96455389353
long,101.42845028604698,57339.486212169024
long,105.91157617896606,53070.655853505246
long,97.9269191269054,61052.38804509907
long,96.76602558842725,62421.77536978481
long,97.99297182566185,62003.82087466396
long,103.66160847080829,55394.034825608396
long,101.31500443863874,58483.1279311728
long,97.88095918493184,62864.532556980994
long,102.05306973245342,57518.94983015605
long,100.38831019739216,60422.732227878834
long,103.87457996213156,54913.71320748168
long,97.19178762449059,63039.87948422271
long,98.68935141360893,62517.56752109426
long,98.43156738747138,59613.649030074695
long,94.14594020747153,64040.01183039407
long,101.18448110825831,59391.76137329756
long,101.04422108871955,58916.06310534601
long,100.02045382656985,60416.85730609285
long,99.06165146649941,60545.57598449662
long,94.33851703179835,64635.691509842625
long,98.31741870893856,61565.300083890485
long,98.62914193389292,62351.8927398034
long,96.79089092311352,63128.02023263229
long,99.35485715333596,61027.75479414986
long,101.61620342725816,58135.19509524919
long,107.54474360484213,50363.75582579851
long,100.69831125132735,59092.54107231293
long,101.03020156289105,59408.818148163
long,99.70221633693534,60091.936776297574
long,92.32491513880383,65831.66058255969
long,99.89394449820313,61903.861358746144
long,100.2409208397641,60598.76583999039
long,109.85296844994114,46825.43753867966
long,99.2305561408755,61834.30458484111
long,101.20618936933445,58580.55287182066
long,99.86115292117903,58644.89576120688
long,95.32528784952187,63149.896179590665
long,104.57129125806009,53432.11639846985
long,103.0077321307471,56594.58588467329
long,103.16412778817218,56703.47980784699
long,96.36245018082104,64582.8367685703
long,105.6111772437444,53800.6023480168
long,94.39259574883087,64359.47135783761
long,102.34742837520108,58310.17995806527
long,108.76182250323991,47097.57202437873
long,96.03785469947725,63661.94320261324
long,97.7348090815889,62796.991108762624
long,100.39860546035057,58560.936631276825
long,97.98609738353521,62886.674667499916
long,93.79734627573546,65142.84581296514
long,100.27425189922411,59536.37031399175
long,95.75078514509558,64178.502109781446
long,101.89436972254073,59974.469675554836
long,96.32230306306478,63416.24508564532
long,106.19973762007015,52917.54747185156
long,96.86698683065505,62499.312183150745
long,98.7117539351773,60664.520420630826
long,103.25406886947867,57244.66741389045
long,95.07654273426418,63431.70595903057
long,100.90983973841652,59276.63675389126
long,105.22857101712971,53677.046024959884
long,93.57006706175508,65377.47682441569
long,100.73853543412922,59664.07474822167
long,101.03953117699369,59913.46952457454
long,103.12729148710925,56324.94290196203
long,95.05219715648767,63916.12048416799
long,94.7181735476629,63556.759777123225
long,102.0877662624676,57585.99757588643
long,101.18793869293275,59228.26853352596
